Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","1","Arménie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4622.733216","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","9.529576","Fc","Donnée calculée",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3293.04581","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","30974.714619","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","2.353499","Fc","Donnée calculée",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1380207.832899","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","54763.202388","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-6.542375","Fc","Donnée calculée",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","445075.391688","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","49700.761833","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.897441","Fc","Donnée calculée",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","48047.647059","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4781.946215","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.988425","Fc","Donnée calculée",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","13578.8","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","34863.742098","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","3.245628","Fc","Donnée calculée",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","38574.069149","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","23503.977127","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.029887","Fc","Donnée calculée",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","301051.101806","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1846.416377","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","10.511157","Fc","Donnée calculée",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","5209.204817","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","18148.958511","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","2.271328","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","63080.960584","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6673.531291","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","5.08287","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","533097.455835","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46198.310321","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.441844","Fc","Donnée calculée",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1879.616778","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4815.171852","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-1.424242","Fc","Donnée calculée",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","14403.220122","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1220.492825","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-1.717762","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","7361.2","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","117767.894282","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","1.750759","Fc","Donnée calculée",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","2564.460096","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3360.617194","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","3.618543","Fc","Donnée calculée",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","40895.322844","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3552.06876","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.098028","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","20164.350065","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6108.558032","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.59801","Fc","Donnée calculée",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","18340.573366","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","7961.365304","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-3.84633","Fc","Donnée calculée",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1847795.847231","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","8755.271208","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.731876","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","13469.240146","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","31086.329196","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-1.710247","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","67925.569415","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","9703.487814","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","3.362598","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","15990.80321","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","786.895614","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-3.222746","Fc","Donnée calculée",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3002.350447","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","260.381563","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-5.516413","Fc","Donnée calculée",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1981.846171","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3603.782576","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-0.350039","Fc","Donnée calculée",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","27097.96382","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1643.641451","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","8.697296","Fc","Donnée calculée",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","38861.362029","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1501.808291","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.129936","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1741496.789532","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46550.335507","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.228098","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","282318.159745","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","14896.453867","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-6.45748","Fc","Donnée calculée",""
"MK","Indicateurs macro","351","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","14762504.034163","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"MK","Indicateurs macro","351","Chine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","10238.512141","Fc","Donnée calculée",""
"MK","Indicateurs macro","351","Chine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","2.705787","Fc","Donnée calculée",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","365710.754964","X","Sources internationales sûres",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","49180.094302","X","Sources internationales sûres",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.233758","Fc","Donnée calculée",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","53859.314519","X","Sources internationales sûres",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","84096.705446","X","Sources internationales sûres",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-3.568175","Fc","Donnée calculée",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","14342933.96468","X","Sources internationales sûres",""
"MK","Indicateurs macro","41","Chine, continentale","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","10003.555003","X","Sources internationales sûres",""
"MK","Indicateurs macro","41","Chine, continentale","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","2.782646","Fc","Donnée calculée",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","24565.300853","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","28284.907631","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.356666","Fc","Donnée calculée",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","323802.808108","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6432.387583","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-4.235951","Fc","Donnée calculée",""
"MK","Indicateurs macro","45","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1165.840745","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1370.149168","X","Sources internationales sûres",""
