Zone,Evolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales,Cluster
Nouvelle-Zélande,5.855,1178220.0,35204.25,57.678,3
Nicaragua,7.968,956300.0,24042.550000000003,28.845,2
Niger,25.975,957395.0,30959.3,12.273,1
Nigéria,16.999,936225.0,21217.45,12.059,1
Norvège,5.894,1258885.0,42442.2,55.392,3
Pakistan,13.23,906295.0,24104.600000000002,43.64,2
Panama,10.716,1086605.0,32072.550000000003,55.15,5
Tchéquie,0.97,1199390.0,31671.05,60.032,5
Papouasie-Nouvelle-Guinée,12.682,819060.0,23473.15,55.839,2
Paraguay,8.208,1011050.0,25568.25,38.116,2
Pérou,9.191,1016890.0,32320.75,48.492,4
Philippines,9.351,1025285.0,23819.9,40.224,2
Pologne,-0.708,1280420.0,38310.399999999994,54.211,3
Portugal,-2.357,1262170.0,42975.1,63.912,3
Guinée-Bissau,16.543,813950.0,15797.2,19.409,1
Timor-Leste,12.124,814680.0,17585.7,21.731,1
Zimbabwe,9.701,623055.0,13946.65,27.375,2
Roumanie,-3.816,1309620.0,39328.75,50.645,3
Rwanda,16.791,808110.0,21472.95,14.448,1
Fédération de Russie,1.072,1227495.0,38262.95,53.296,3
Saint-Kitts-et-Nevis,4.951,931845.0,26024.5,61.725,5
Sainte-Lucie,2.973,961045.0,30769.5,58.197,5
Saint-Vincent-et-les Grenadines,1.811,1076385.0,33382.899999999994,56.932,5
Sao Tomé-et-Principe,11.958,876730.0,19914.4,32.533,1
Arabie saoudite,14.031,1205230.0,32685.75,39.866,4
Sénégal,18.24,949365.0,23502.35,22.768,1
Seychelles,4.651,1139895.0,34967.0,52.902,5
Sierra Leone,13.829,851180.0,18370.45,22.074,1
Slovénie,0.753,1149385.0,34799.1,54.521,5
Slovaquie,0.651,1063610.0,25940.55,53.581,5
Afrique du Sud,9.073,1057770.0,29116.05,44.039,4
Espagne,-0.413,1222020.0,39617.100000000006,62.945,3
Suriname,6.227,1006670.0,24834.600000000002,47.825,5
Tadjikistan,15.649,906660.0,26148.6,32.44,2
Eswatini,5.639,928560.0,21910.95,30.318,2
Suède,4.35,1162160.0,39456.5,64.154,3
Suisse,5.95,1233335.0,35463.4,63.102,3
République arabe syrienne,-12.812,1007400.0,27042.850000000002,29.14,5
Turkménistan,10.728,1050835.0,32839.05,40.669,4
"Chine, Taiwan Province de",1.504,1079670.0,31375.399999999998,52.862,5
République-Unie de Tanzanie,19.641,866510.0,21929.2,18.975,1
Thaïlande,2.173,1024920.0,22202.95,43.087,5
Togo,16.214,899360.0,20732.0,17.06,1
Trinité-et-Tobago,3.049,1080035.0,31043.25,51.734,5
Oman,32.145,1077115.0,30904.55,48.352,2
Tunisie,6.772,1277135.0,36777.4,28.216,4
Turquie,9.884,1362910.0,40540.549999999996,35.77,4
Ouganda,24.024,786940.0,15746.1,23.435,1
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,3.918,1239175.0,38759.35,55.429,3
Ukraine,-2.856,1108140.0,32882.85,49.661,5
États-Unis d'Amérique,4.003,1409630.0,41978.65,66.02,3
Burkina Faso,19.028,997545.0,29258.399999999998,13.56,1
Uruguay,2.133,1171285.0,31941.15,54.668,5
Ouzbékistan,10.186,1174935.0,36635.05,42.881,4
Venezuela (République bolivarienne du),-4.248,804460.0,18815.75,43.705,2
Viet Nam,6.291,1072735.0,32196.649999999998,38.952,4
Éthiopie,17.5,890235.0,25750.75,9.072,1
Samoa,3.345,1129675.0,32663.85,59.426,5
Yémen,15.965,736935.0,19465.45,20.589,1
République démocratique du Congo,21.626,698245.0,9457.15,12.389,1
Zambie,19.66,827455.0,22224.85,22.713,1
Belgique,3.455,1387000.0,36624.1,60.375,3
Luxembourg,13.486,1278960.0,39766.75,61.083,3
Serbie,-1.644,1045725.0,31601.7,50.578,5
Monténégro,0.262,1284800.0,40876.35,60.246,3
Soudan,15.485,942065.0,27692.550000000003,26.255,2
Chine,2.998,1219100.0,38365.15,39.597,5
