Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","3","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","115.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1021","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","70.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3493","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.84","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","98.14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","379","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","24.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","22.14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3559","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","104.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","149.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1057","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","78.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2445","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","52.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","59.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","211","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","15.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","15.27","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2485","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","91.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","720","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","51.32","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","50.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3302","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","89.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","105.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","465","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","30.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3304","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","106.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","122.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1017","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","67.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","73.78","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3022","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","94.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","115.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","975","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","52.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","74.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3417","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","107.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","159.73","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1099","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","72.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","79.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3691","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","164.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1154","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","64.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","92.76","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3154","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","95.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","65.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","579","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","34.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donnée calculée"
