Code zone,Zone,Année,population,Evolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales
230,Ukraine,2019,43993638.0,-2.856,1108140.0,32882.85,49.661
231,États-Unis d'Amérique,2019,329064917.0,4.003,1409630.0,41978.65,66.02
233,Burkina Faso,2019,20321378.0,19.028,997545.0,29258.399999999998,13.56
234,Uruguay,2019,3461734.0,2.133,1171285.0,31941.15,54.668
235,Ouzbékistan,2019,32981716.0,10.186,1174935.0,36635.05,42.881
236,Venezuela (République bolivarienne du),2019,28515829.0,-4.248,804460.0,18815.75,43.705
237,Viet Nam,2019,96462106.0,6.291,1072735.0,32196.649999999998,38.952
238,Éthiopie,2019,112078730.0,17.5,890235.0,25750.75,9.072
244,Samoa,2019,197097.0,3.345,1129675.0,32663.85,59.426
249,Yémen,2019,29161922.0,15.965,736935.0,19465.45,20.589
250,République démocratique du Congo,2019,86790567.0,21.626,698245.0,9457.15,12.389
251,Zambie,2019,17861030.0,19.66,827455.0,22224.85,22.713
255,Belgique,2019,11539328.0,3.455,1387000.0,36624.1,60.375
256,Luxembourg,2019,615729.0,13.486,1278960.0,39766.75,61.083
272,Serbie,2019,8772235.0,-1.644,1045725.0,31601.7,50.578
273,Monténégro,2019,627987.0,0.262,1284800.0,40876.35,60.246
276,Soudan,2019,42813238.0,15.485,942065.0,27692.550000000003,26.255
351,Chine,2019,1465634161.0,2.998,1219100.0,38365.15,39.597
